provinsi,tahun_2018,tahun_2019,tahun_2020,tahun_2021
ACEH,361835.41,384381,398316,418296
SUMATERA UTARA,343740.9,367105,378617,404860
SUMATERA BARAT,369206.6,402003,414949,438308
RIAU,355411.51,381904,398654,427086
JAMBI,329934.18,355585,369835,391656
SUMATERA SELATAN,298856.85,318123,328710,343549
BENGKULU,366889.22,384886,392261,423264
LAMPUNG,306926.27,326364,344944,370907
KEP. BANGKA BELITUNG,482102.67,521298,528771,555279
KEP. RIAU,379602.47,400070,410811,432804
DKI JAKARTA,408790.86,451918,467847,490918
JAWA BARAT,269064.68,292718,305687,323525
JAWA TENGAH,262772.55,283217,296697,317519
DI YOGYAKARTA,296077.01,322999,335262,358285
JAWA TIMUR,287852.48,302757,313653,336315
BANTEN,322255.78,347368,370293,395258
BALI,268274.99,285920,302154,319095
NUSA TENGGARA BARAT,277943.59,292522,304982,328699
NUSA TENGGARA TIMUR,281069.78,299476,316659,344666
KALIMANTAN BARAT,328114.55,351667,362874,387342
KALIMANTAN TENGAH,338032.17,361419,387865,407871
KALIMANTAN SELATAN,310496.11,340430,360394,376894
KALIMANTAN TIMUR,419549.99,446840,470589,495785
KALIMANTAN UTARA,454542.25,488970,508699,531302
SULAWESI UTARA,275123.29,290623,306583,323997
SULAWESI TENGAH,322860.93,357664,370310,385989
SULAWESI SELATAN,236638.65,256826,271199,287467
SULAWESI TENGGARA,237715.95,259888,275884,296298
GORONTALO,252117.96,272431,291402,308586
SULAWESI BARAT,251463.56,262966,271458,297545
MALUKU,361160.66,414480,429678,450442
MALUKU UTARA,329899.62,348361,362406,392506
PAPUA BARAT,432692.54,453232,465715,492485
PAPUA,388843.78,418367,437370,450729
INDONESIA,302022.07,324911,339003,360007
