provinsi,tahun_2018,tahun_2019,tahun_2020,tahun_2021
ACEH,13814,15065,18099,17037
SUMATERA UTARA,13257,14061,15949,15486
SUMATERA BARAT,14431,15210,17571,16630
RIAU,15613,16270,18411,19144
JAMBI,14007,14304,15840,16043
SUMATERA SELATAN,13214,13580,15072,15873
BENGKULU,14353,14511,17407,18271
LAMPUNG,11779,12575,14912,15224
KEP. BANGKA BELITUNG,15818,17373,15763,17692
KEP. RIAU,23212,22912,25032,25736
DKI JAKARTA,25238,25236,28420,30662
JAWA BARAT,16843,17365,19078,19716
JAWA TENGAH,11417,11828,12707,13072
DI YOGYAKARTA,12554,13275,15771,15098
JAWA TIMUR,12561,13119,14389,14789
BANTEN,20565,21003,23035,24839
BALI,15889,16408,17775,17662
NUSA TENGGARA BARAT,11359,11954,13627,12992
NUSA TENGGARA TIMUR,12318,12610,17696,16386
KALIMANTAN BARAT,14614,15309,16098,16127
KALIMANTAN TENGAH,17489,18090,20677,21040
KALIMANTAN SELATAN,15735,16517,18863,18874
KALIMANTAN TIMUR,21303,21691,24097,23943
KALIMANTAN UTARA,18931,20639,26002,22972
SULAWESI UTARA,16954,18350,21390,20963
SULAWESI TENGAH,13462,14682,18140,20637
SULAWESI SELATAN,15777,17105,19172,19217
SULAWESI TENGGARA,15944,15849,20449,19302
GORONTALO,11891,13492,15128,14613
SULAWESI BARAT,12144,13126,18136,18072
MALUKU,14923,17306,26198,21156
MALUKU UTARA,15864,17425,23338,21131
PAPUA BARAT,21727,22987,27904,29600
PAPUA,25987,24984,32138,30382
INDONESIA,15275,15823,17696,18089
